storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
93_12,93,경기도,덕양구,경기도 덕양구 놀곳,중흥사,템플스테이,,186,경기 고양시 덕양구 대서문길 393,https://map.naver.com/p/entry/place/423890559?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA2MzBfMjE2%2FMDAxNDk4ODEyNzQ2MTIy.NR_RlTxbWmFFtCDdSB6poez79fNLRB0ANM2mf7vwctkg.csMJVJuGSVbTD3TYokASULHr9ckJlTON_PVZjElSpwAg.JPEG.sesang1970%2F20170615_104818.jpg,혼놀,126.9772480,37.6455300,,
93_13,93,경기도,덕양구,경기도 덕양구 놀곳,서삼릉,세계문화유산,4.3,144,경기 고양시 덕양구 서삼릉길 233-126,https://map.naver.com/p/entry/place/11663860?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_298%2F1441013606234PP7fb_JPEG%2F116167535124909_0.jpg,혼놀,,,,
93_14,93,경기도,덕양구,경기도 덕양구 놀곳,서서울 어린이천문대,천문대,,34,경기 고양시 덕양구 용두로 19,https://map.naver.com/p/entry/place/1404158045?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240419_259%2F17135227228442Nz2g_JPEG%2F%25C3%25B5%25B9%25AE%25B5%25BC%25B0%25FA_%25B8%25C1%25BF%25F8%25B0%25E6.jpg,혼놀,126.8834934,37.6236127,,
93_15,93,경기도,덕양구,경기도 덕양구 놀곳,한국마사회 원당목장,테마공원,,140,경기 고양시 덕양구 서삼릉길 233-112,https://map.naver.com/p/entry/place/11882817?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_300%2F1440993603596ormbd_JPEG%2F11882817_0.jpg,혼놀,126.8669382,37.6627484,,
93_16,93,경기도,덕양구,경기도 덕양구 놀곳,행주산성 역사공원,근린공원,,203,경기 고양시 덕양구 행주외동 140-8,https://map.naver.com/p/entry/place/19043778?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230124_241%2F1674499930341LAjzd_JPEG%2F20230120_095624.jpg,혼놀,126.8196065,37.5985592,,
93_17,93,경기도,덕양구,경기도 덕양구 놀곳,고양가와지볍씨박물관,박물관,,1,경기 고양시 덕양구 고양대로 1695,https://map.naver.com/p/entry/place/34585567?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzEyMTJfMTUx%2FMDAxNTEzMDgwMjI2NDg0.CZBlnx13dICrzjrDWn7ZUSsqB7iIEyNSxfj6Yxv9CUsg.TiW9uCA7DT6kiF2pDhd-_gqRsRqD1wzgSSJt27s-PpUg.JPEG.dayee0%2F1.JPG,혼놀,126.8697116,37.6495084,,
93_18,93,경기도,덕양구,경기도 덕양구 놀곳,고양한강공원,시민공원,,70,경기 고양시 덕양구 행주외동 500-6,https://map.naver.com/p/entry/place/1554682448?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20220609_139%252F1654745688286ItOqB_JPEG%252F1AD40DC5-D897-4356-B8A6-B8F0B8F35E71.jpeg,혼놀,126.8141908,37.6037396,,
93_19,93,경기도,덕양구,경기도 덕양구 놀곳,원두막주말농장,주말농장,,18,경기 고양시 덕양구 북한산로 473-7,https://map.naver.com/p/entry/place/19579114?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_42%2F1441008965014m1qm6_JPEG%2F166256448825091_0.jpg,혼놀,126.9538053,37.6670355,,
93_20,93,경기도,덕양구,경기도 덕양구 놀곳,성라피크닉장,테마공원,,5,경기 고양시 덕양구 충장로 380,https://map.naver.com/p/entry/place/1893483062?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220616_66%2F1655361325826i6kCz_JPEG%2F%25BE%25C8%25B3%25BB%25C6%25C7.jpg,혼놀,126.8398412,37.6437936,,
93_21,93,경기도,덕양구,경기도 덕양구 놀곳,지도공원,근린공원,,3,경기 고양시 덕양구 지도로80번길 38,https://map.naver.com/p/entry/place/19041644?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200105_69%2F1578195039300PP7fI_JPEG%2FpmmRa1GDgO_jv0hDVAoTjrpo.jpg,혼놀,126.8265834,37.6264464,,
